delta(mm) h R(mm) rho mu E V_bc(mm/s) delta_std V_bc_std
1.0736154110767115 7.67 4.0 0.0078 141.7762114 77835.17918 311.29901341813616 0.0249818749987825 2.367738145752389
6.587924814885135 7.67 6.0 0.0078 141.7762114 77835.17918 3103.6073398880617 0.1901799037228261 5.011443886879476
5.2112559077743335 7.67 6.0 0.0078 141.7762114 77835.17918 2209.28369464686 0.0798301191293792 5.103942942352566
4.044991917953289 7.67 6.0 0.0078 141.7762114 77835.17918 1493.4134823429672 0.0398903378196277 5.472478233798566
3.716211374832065 7.67 6.0 0.0078 141.7762114 77835.17918 1289.069345720177 0.0402234593059551 2.8857628140175176
3.21314511575381 7.67 6.0 0.0078 141.7762114 77835.17918 997.1889845170344 0.0170703777841874 1.3396913279077831
2.822864632284493 7.67 6.0 0.0078 141.7762114 77835.17918 836.4464921488014 0.0708055380770355 3.663995602862325
2.527557761167352 7.67 6.0 0.0078 141.7762114 77835.17918 704.8303261715569 0.0533537014897692 2.844840513443235
2.041586502885896 7.67 6.0 0.0078 141.7762114 77835.17918 489.13181945684937 0.0400513614985661 1.3809164118606891
1.5410779792474585 7.67 6.0 0.0078 141.7762114 77835.17918 319.17071713951964 0.04494931032499 2.613272941523092
7.091835958304802 6.4 8.0 0.0078 127.9153697 77288.96056 3092.831418919442 0.0350340772384441 10.613682318832655
6.130419576202708 6.4 8.0 0.0078 127.9153697 77288.96056 2216.834631031758 0.0343808856892271 3.481189470899862
5.034770667399067 6.4 8.0 0.0078 127.9153697 77288.96056 1489.4536673455843 0.0338843566571196 2.5507469449614715
4.731357863887987 6.4 8.0 0.0078 127.9153697 77288.96056 1298.2585478479284 0.0169325952458483 3.3814025647335377
4.04127884020797 6.4 8.0 0.0078 127.9153697 77288.96056 956.0047309135124 0.013776622956563 3.3508579950030954
3.689337530301384 6.4 8.0 0.0078 127.9153697 77288.96056 803.4535771969479 0.0247828639289664 1.962596907073392
3.224699731524657 6.4 8.0 0.0078 127.9153697 77288.96056 636.2759762990703 0.035931696418435 1.5092664860404652
2.866024815241712 6.4 8.0 0.0078 127.9153697 77288.96056 523.6636898270032 0.0258857513684123 1.5950058192161662
2.5705988326826152 6.4 8.0 0.0078 127.9153697 77288.96056 427.7464297513418 0.0298410798345868 0.9289016066643168
2.4148891450267813 6.4 8.0 0.0078 127.9153697 77288.96056 372.10076993136215 0.0365014394897918 1.9221864332955023
6.659176029962546 6.4 7.0 0.0078 127.9153697 77288.96056 3114.434080461615 2.082963028648268e-15 1.1987530341289294
